City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
193,ta`u,-14.2336,-169.5144,28.220000000000027,79,69,3.62,AS,1707157989
194,taoudenni,22.6783,-3.9836,22.80000000000001,9,96,4.12,ML,1707157989
195,nar'yan-mar,67.6713,53.087,-18.829999999999984,97,100,1.79,RU,1707157989
196,broome,42.2506,-75.833,5.32000000000005,66,0,3.6,US,1707157989
197,georgetown,5.4112,100.3354,28.970000000000027,78,20,3.09,MY,1707157717
198,kendari,-3.945,122.4989,24.08000000000004,93,100,0.94,ID,1707157989
199,sarina,-21.4333,149.2167,23.670000000000016,84,0,1.64,AU,1707157990
200,greymouth,-42.4667,171.2,14.0,91,100,1.77,NZ,1707157990
201,praia da vitoria,38.7333,-27.0667,19.140000000000043,88,40,8.66,PT,1707157968
202,lebu,-37.6167,-73.65,20.060000000000002,70,100,3.36,CL,1707157916
203,jianjiang,26.5497,119.755,9.550000000000011,87,100,4.06,CN,1707157990
204,padang,-0.9492,100.3543,27.03000000000003,86,100,1.6,ID,1707157725
205,rincon,32.296,-81.2354,11.980000000000018,83,100,4.63,US,1707157991
206,mournies,35.4764,24.0092,14.910000000000025,67,20,7.2,GR,1707157991
207,sawang daen din,17.4753,103.4575,23.950000000000045,29,0,1.53,TH,1707157991
208,port douglas,-16.4833,145.4667,26.060000000000002,84,100,1.7,AU,1707157991
209,port mathurin,-19.6833,63.4167,26.29000000000002,67,19,7.46,MU,1707157991
210,umm kaddadah,13.6017,26.6876,18.439999999999998,15,46,6.78,SD,1707157991
211,stanley,54.868,-1.6985,10.160000000000025,79,75,10.29,GB,1707157991
212,cidreira,-30.1811,-50.2056,26.010000000000048,80,32,5.1,BR,1707157992
213,kavaratti,10.5669,72.642,28.010000000000048,73,33,3.13,IN,1707157992
214,saint-pierre,-21.3393,55.4781,23.82000000000005,69,0,4.12,RE,1707157992
215,rongelap,11.1635,166.8941,26.150000000000034,83,96,9.01,MH,1707157992
216,vilhena,-12.7406,-60.1458,27.920000000000016,59,100,0.38,BR,1707157992
217,moires,35.0532,24.8744,12.900000000000034,87,2,2.8,GR,1707157992
218,kapa'a,22.0752,-159.319,22.83000000000004,69,100,11.32,US,1707157979
219,afaahiti,-17.75,-149.2833,23.930000000000007,95,100,10.76,PF,1707157993
220,sarkisla,39.3519,36.4098,0.9800000000000182,93,100,5.22,TR,1707157993
221,yung shue wan,22.2333,114.1167,19.860000000000014,87,100,0.45,HK,1707157993
222,bezopasnoye,45.6483,41.936,4.830000000000041,91,100,9.71,RU,1707157994
223,alesund,62.4723,6.1549,-0.37000000000000455,93,100,2.57,NO,1707157956
224,acapetahua,15.2833,-92.7,33.33000000000004,41,0,4.66,MX,1707157994
225,fort mcmurray,56.7268,-111.381,-12.229999999999961,78,0,4.12,CA,1707157994
226,allapalli,19.4167,80.0667,23.680000000000007,50,0,1.6,IN,1707157994
227,avarua,-21.2078,-159.775,28.03000000000003,83,20,6.17,CK,1707157995
228,prince george,53.9166,-122.753,-6.310000000000002,86,100,2.57,CA,1707157921
229,fuding,27.3273,120.214,8.260000000000048,92,100,0.71,CN,1707157995
230,yaiza,28.9633,-13.7631,18.870000000000005,60,0,5.14,ES,1707157995
231,nogliki,51.8333,143.1667,-21.47999999999999,99,47,3.58,RU,1707157995
232,serowe,-22.3833,26.7167,28.08000000000004,30,94,2.21,BW,1707157995
233,ormara,25.2088,64.6357,22.189999999999998,64,34,5.67,PK,1707157996
234,kayenta,36.7278,-110.2546,8.670000000000016,42,100,3.59,US,1707157996
235,touros,-5.1989,-35.4608,29.640000000000043,66,43,7.01,BR,1707157996
236,ushuaia,-54.8,-68.3,14.810000000000002,51,90,4.63,AR,1707157697
237,muang phonsavan,19.45,103.2167,13.010000000000048,43,0,0.25,LA,1707157996
238,labrador city,52.9463,-66.9114,-13.049999999999955,47,20,2.06,CA,1707157996
239,masterton,-40.9597,175.6575,12.710000000000036,73,12,1.62,NZ,1707157905
240,darwin,-12.4611,130.8418,27.99000000000001,88,40,4.12,AU,1707157969
241,takoradi,4.8845,-1.7554,27.24000000000001,82,0,3.44,GH,1707157997
242,nadym,65.5333,72.5167,-24.659999999999968,99,69,4.44,RU,1707157997
243,hinton,53.4001,-117.5857,-0.589999999999975,84,99,1.17,CA,1707157997
244,hermanus,-34.4187,19.2345,21.560000000000002,83,0,3.82,ZA,1707157997
245,kotka,60.4664,26.9458,-4.409999999999968,96,91,3.81,FI,1707157997
246,wedgefield,28.4878,-81.0773,19.450000000000045,67,100,2.76,US,1707157998
247,carnarvon,-24.8667,113.6333,27.650000000000034,37,11,8.88,AU,1707157998
248,el naranjo,21.4667,-98.6,26.100000000000023,33,0,1.74,MX,1707157998
249,anadyr,64.75,177.4833,-26.71999999999997,76,40,9.0,RU,1707157987
250,isiro,2.7739,27.616,22.49000000000001,48,69,0.83,CD,1707157998
251,fochville,-26.4886,27.4939,21.810000000000002,30,0,1.26,ZA,1707157998
252,celestun,20.8667,-90.4,24.160000000000025,53,0,10.36,MX,1707157999
253,kalengwa,-13.4659,25.0027,19.140000000000043,95,92,1.91,ZM,1707157999
254,ipameri,-17.7219,-48.1597,25.860000000000014,69,98,2.2,BR,1707157999
255,annigeri,15.4333,75.4333,24.840000000000032,38,0,3.06,IN,1707157807
256,holualoa,19.6228,-155.9522,23.210000000000036,71,20,3.6,US,1707158000
257,jorpeland,59.0225,6.0408,2.8600000000000136,74,100,2.21,NO,1707158000
258,beloyarskiy,63.7119,66.6722,-24.43999999999997,100,100,1.79,RU,1707158000
259,nizhnesortymskiy,62.4397,71.7603,-16.659999999999968,98,100,6.22,RU,1707158000
260,komotini,41.1228,25.3964,8.360000000000014,77,7,0.35,GR,1707158001
261,al kharijah,25.4514,30.5464,12.53000000000003,40,0,3.21,EG,1707158001
262,bridgewater,44.3835,-64.5155,1.170000000000016,84,95,7.2,CA,1707158001
263,manokwari,-0.8667,134.0833,25.720000000000027,84,100,2.58,ID,1707158001
264,sidi akkacha,36.4647,1.3026,19.160000000000025,58,25,2.58,DZ,1707158001
265,uturoa,-16.7333,-151.4333,27.810000000000002,83,100,9.63,PF,1707158001
